Max of Sum of density_cells/ml,Column Labels,,,,,,,,,,,,,,,,,,,,
Row Labels,BHR,BRR,BVR,CBR,CCK,CFK,CHL,CMR,CRR,EFR,GRR,HTR,MNR,MSR,NRR,PRR,RRR,SRR,TAR,WFR,Grand Total
1987,,,,,403.283,,,,,,,,,,,,,,,,403.283
1988,235.616384,804.5454545,,,2.4,919.059526,,,,,,,,1209.01203,124.2934,,,895.668986,1608.73875,,1608.73875
1992,2626.811594,5170.012886,13476.08025,7774.504302,,2333.333333,9499.843945,1668.705282,44091.71076,3916.854923,20524.69136,3303.433642,31378.60082,6024.564677,7673.611111,58280.79853,9727.21496,3895.888594,5452.794805,1278.313049,58280.79853
1993,2292.5,7035,30787.038,28703.704,14461.806,12461.42,268000,51040,972.222,13888.89,6600,29900,38864.583,11316.873,5311.214,5445,3960,14186.667,63250,14429.012,268000
1995,68.07692308,6236.275801,34748.23529,612.6741573,6745,2968.553459,9716.170213,33826.66667,420.7349282,4962.197802,2733.265306,2119.417476,22185.28261,2733.283358,12890.78014,370.1709402,111.372549,480.4285714,21549.32039,8633.575677,34748.23529
1998,23.06976167,11692.21154,2326.771978,17563.84615,3094.871795,759.8681319,7148.076923,13406.43564,83.49056604,12206.3625,2063.886792,3243.665158,2707.215,1807.919799,1616.709957,1692.200455,1669.627096,520.2242991,12258.135,4576.18562,17563.84615
1999,639.4973732,7772.803,4794.17,34547.745,15475.476,128.028,25791.43,42653.388,29.764,4442.318,2475.168,3942.695,2683.963,2092.932,382.321,1604.503,249.67,1258.55,30342.857,829.583,42653.388
2000,1394.545,5688.136,5979.875,43475.785,33817.727,471.904,29638.469,31645.454,139.159,11731.923,2563.088,6094.848,757.781,4364.95,860.441,1348.852,570.07,1980.187,8693.747,1088.168,43475.785
2001,108.143,2575.822,31717.196,191.488,25032.467,438.2,5543.999,39080.459,146.573,7776.971,7629.742,4604.377,945.903,2345.639,1194.297,,6799.605,675.087,9307.581,8396.873,39080.459
2002,114.502,15219.801,15482.02,8326.463,41737.144,134.106,8894.007,10765.44,302.762,,,,,1113.21,,2535.232,,,,1631.692,41737.144
2003,326.3056929,32694.11765,1770.359667,26612.44311,123446.4,11475.52,14217.38227,15729.99867,191.4613492,16434.30749,35664.31353,4341.068953,2500.96,362.4772,3939.6,920.808,1917.391043,70699,6123.428857,390.7456,123446.4
2004,601.0915706,21128,3647.2,15608.49231,7556.266667,1347.089655,31371.54639,42471.28713,552.4608854,16380,59756.48,4484.808081,839.3938824,10180.8,34053.47143,3917.822222,84588,115935.5844,17704.61538,2197.066667,115935.5844
2005,2578.67,15301.742,1678.488,71148,2038.461,171.36,57073,43400,64.136,30861.6,11043.835,8238.4,20303.36,7298.15,3079.999,1050.765,717.381,29925,9512.533,11564,71148
2006,257.745,28953.244,1801.876,65517.241,15802.906,2919.039,53024.791,50321.046,132.533,18324.358,1387.525,1878.71,5245.662,14670.89,616.001,4073.008,883.247,15481.984,16813.907,7108.119,65517.241
2007,1698.227697,34295.92233,5751.529412,67449.65035,146969.1795,1351.500395,90806.58538,45240.00814,13.79170856,2260.852269,3967.84466,8392.28143,2843.533116,21055.51785,1776.923077,4473.888386,560.7692308,15534.32395,11295.46371,14063.97563,146969.1795
2008,9774.379085,,24493.30033,277333.3333,15428.57143,1876.329412,55698.82353,47229.52295,76266.22853,59671.32673,29452.5,30293.23827,3073.90099,43463.00654,30082.0915,22251.92308,31234.81719,20304.15842,53000.64,35644,277333.3333
2009,,,,,,,,,,505107.5269,,,,,,,,,,,505107.5269
2010,,,,,63199.07407,,,195379.7753,,536722.4889,86698.18182,,657995.6813,38449.81132,22885.05747,62844.43571,39573.33333,5256.038647,,,657995.6813
2011,,167641.6365,,,,,,,,483738.446,37539.89362,,,,219448.2768,,33559.7825,,,,483738.446
2012,,235323.1306,128912.5,,,64353.19767,261051.7544,164772.7273,,1316.435644,27643.22917,152738.4021,,12167.83854,79974.4898,28325,111857.3589,1006869.905,,143095.0798,1006869.905
2013,1045415.452,4254997.492,3824455.915,8714723.769,2823423.83,1033383.816,4195412.249,,60547.5,638834.2697,451558.9888,91747.44318,8628.26087,242895,342017.6829,64114.16667,109762.7841,268574.2574,48001.92308,419674.4444,8714723.769
