year,BHR,BRR,BVR,CBR,CCK,CFK,CHL,CMR,CRR,EFR,GRR,MNR,MSR,NRR,PRR,RRR,SRR,TAR,forest,forSE,agstrat,agstratSE,ag,agSE
1987,0.05,0.575,na,1.666666667,0.875,na,na,0.4,0.175,0.35,0.1,0.7,0.4,0.05,0.666666667,0.3,0.8,0.6,0.397916667,0.166887874,0.466666667,0.111367759,0.663333333,0.277508759
1988,0.05,na,na,1.7,0.55,na,0.95,0.9,0.15,0.433333333,0.3,0.8,0.575,0.2,0.825,0.65,0.55,0.5,0.45625,0.206754434,0.486666667,0.058547227,0.8125,0.209339238
1989,0.2,0.2,na,0.6,0.55,na,0.8,0.6,0.266666667,0.3,0.2,0.4,0.7,0.3,0.5,0.7,0.8,0.4875,0.341666667,0.067185481,0.40625,0.083650438,0.633333333,0.076011695
1990,0.2,na,na,na,na,na,na,0.983333333,na,0.68,0.45,0.45,na,0.371428571,na,na,na,na,,,,,,
1991,0.233333333,na,na,na,na,na,0.4,0.95,na,0.64,na,0.766666667,na,0.25,na,na,0.9,0.433333333,,,,,0.625,0.176186454
1992,na,0.75,na,na,1.429166667,na,1.3,0.6,0.366666667,na,1.5,0.5,1.25,na,na,na,1.4,1,,,1.169791667,0.178271139,1.1375,0.181859607
1993,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
1994,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
1995,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
1996,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
1997,na,na,na,na,na,na,na,na,na,0.02,na,na,na,na,na,na,na,na,,,,,,
1998,na,na,na,na,na,na,na,na,na,1.45,na,0.65,0.45,0.475,0.65,0.65,na,0.8,,,,,,
1999,na,na,0.35,na,2.166666667,0.3,na,na,0.233333333,0.4,0.2,0.5,2,0.3,0.05,0.75,na,1,0.270833333,0.09288957,0.811111111,0.296200216,,
2000,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
2001,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
2002,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
2003,na,na,na,na,na,na,na,na,na,1.3792,na,na,na,na,na,na,na,na,,,,,,
2004,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
2005,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
2006,na,0.838571429,na,na,na,na,na,na,na,na,0.99,na,1.2,0.663333333,na,1.183333333,1.303333333,na,,,,,1.055555556,0.198366788
2007,0.356,0.595,0.01,0.01,0.336,0.209,1.45,na,0.233,0.294,0.159,1.047,0.779,0.493,0.655,0.616,0.861,1.171,0.5,0.158104396,0.454428571,0.145069582,0.7186,0.235783927
2008,na,na,0.625,na,na,na,0.915,0.86,na,na,na,0.4,1.393333333,na,0.52,na,1.475,0.72,,,,,1.160833333,0.159083748
2009,0.58,1.5,0.91,1.65,0.903333333,1.14,1.35,1.1,0.91,1.4,1.365,1.15,1.016666667,0.993333333,1.1,1.333333333,1.2,2.65,0.976,0.108101804,1.437380952,0.221206964,1.218333333,0.101539082
2010,na,na,na,na,0.82,na,0.685,1.6,na,1.318333333,na,0.92,1.02,na,0.54,na,1.85,na,,,,,1.28875,0.265928993
2011,na,2.2,na,na,na,na,na,na,na,na,0.35,na,na,0.14,na,1,na,na,,,,,,
2012,na,na,na,2.5,na,na,na,na,na,na,1.6,na,2.2,na,na,na,na,na,,,,,,
2013,na,na,na,na,na,na,na,na,0.67,1.32,0.53,1.2,na,na,na,1.9,na,na,,,,,,
2014,na,1.8,na,na,na,0.966666667,na,na,1,1.6,0.9,2.4,1.45,1.6,na,na,1.85,2.1,1.455555556,0.472320251,1.6,0.254950976,1.633333333,0.116666667
2015,na,0.7,1.1,0.7,1.366666667,0.6,na,na,na,1.8,0.6,na,na,0.85,1.3,0.7,1.05,1.5,,,1.10952381,0.17528726,0.866666667,0.101379376
2016,na,0.78,na,na,na,0.33,2.78,na,0.46,0.6975,1.1,na,1.51,na,0.969,na,1.6185,2.81,0.586333333,0.194978916,1.346875,0.495371678,1.9695,0.406458587
2017,0.21,0.55,0.66,na,na,0.13,0.96,1.43,0.24,0.88,0.34,0.25,0.75,0.49,na,0.41,1.04,0.62,0.2075,0.027195281,0.576666667,0.078598841,0.934,0.156352167
2018,na,1.32,na,2.93,0.532333333,na,1.76,1.02,0.1815,0.714333333,0.692,na,0.8105,0.486,0.417,0.296,1.103,0.726,,,0.713444444,0.138514625,1.351583333,0.359256186
