year,BHR,BRR,BVR,CBR,CCK,CFK,CHL,CMR,CRR,EFR,GRR,MNR,MSR,NRR,PRR,RRR,SRR,TAR,For,ForSE,Agstrat,AgstratSE,Ag,AgSE
1987,na,1.225,na,na,3.1,na,na,1.9,0.475,1.3,0.8,0.8,3.9,1.45,0.766666667,0.5,5.5,1.675,0.680555556,0.103227245,1.433333333,0.372808411,3.1875,0.936833096
1988,na,na,na,na,4.575,na,4.05,2.2,0.5,1.783333333,1.1,1,5.05,1.8,0.925,na,5.05,1.666666667,0.808333333,0.155679514,2.28125,0.779009751,3.63,0.692928568
1989,0.4,0.7,na,2.3,3.45,na,3.8,3.5,0.516666667,0.95,na,0.566666667,4.5,1.3,0.7,0.85,4,0.725,0.545833333,0.062128526,1.335,0.530659966,3.233333333,0.489671091
1990,0.366666667,na,na,na,na,na,na,2.266666667,na,1.54,0.65,0.6,na,1.021428571,na,na,na,na,,,,,,
1991,0.533333333,na,na,na,na,na,2.8,1.3,na,1.006666667,na,1.166666667,na,1.2,na,na,3.4,1.066666667,,,,,2.175,0.548292805
1992,na,1.15,na,na,3.291666667,na,na,na,0.566666667,na,1.8,1.5,5.8,na,na,na,5.4,1.6,,,1.960416667,0.464097279,,
1993,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
1994,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
1995,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
1996,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
1997,na,na,na,na,na,na,na,na,na,1.522222222,na,na,na,na,na,na,na,na,,,,,,
1998,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
1999,na,na,2.15,na,5.3,0.59,na,na,0.536666667,1.26,1.06,0.59,4.15,1.496666667,0.305,0.9775,na,1.331666667,0.505416667,0.067977989,2.013194444,0.679088387,,
2000,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
2001,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
2002,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
2003,na,na,na,na,na,na,na,na,na,1.9372,na,na,na,na,na,na,na,na,,,,,,
2004,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
2005,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
2006,na,1.135714286,na,na,na,na,na,na,na,na,1.34,na,3.3,1.583333333,na,1.26,3.27,na,,,,,2.717777778,0.56728833
2007,0.364,1.187,1.974333333,5.06,2.574,0.421,2.266,na,0.448,1.275,0.98,1.055,1.753,1.326,0.663,0.74,2.549,1.179,0.5902,0.126758589,1.415619048,0.240449089,2.5908,0.652143343
2008,na,na,2.425,na,na,na,2.865,2.46,na,na,na,0.56,5.66,na,0.63,na,4.425,1.66,,,,,3.8525,0.736490835
2009,1.58,3.45,4.86,1.849,4.036666667,1.985,6.6,9.8,3.01,1.944666667,3.4965,1.685,10.18333333,4.763333333,1.169,1.350333333,18.2,4.6195,1.8858,0.309943769,3.393952381,0.496531049,8.565944444,2.312257179
2010,na,na,na,na,3.27,na,2.135,2.32,na,1.976,na,0.929,2.86,na,0.572,na,9.15,na,,,,,4.11625,1.684949771
2011,na,2.255,na,na,na,na,na,na,na,na,1,na,na,1.34,na,1.058,na,na,,,,,,
2012,na,na,na,2.527,na,na,na,na,na,na,na,na,5.4,na,na,na,na,na,,,,,,
2013,na,na,na,na,na,na,na,na,na,1.463333333,0.82,1.3,na,na,na,2.05,na,na,,,,,,
2014,na,1.9325,na,na,na,0.985,na,na,1.209,1.777,1.105,2.405,2.273,2.586,na,na,2.8525,2.11575,1.533,0.440769025,1.7325625,0.220343869,2.5705,0.167466663
2015,na,1.699,2.446666667,1.208,2.922666667,0.6151,na,na,na,2.397,1.272,na,na,1.6515,1.3302,0.705,1.09515,1.928,,,1.910047619,0.286796256,1.318216667,0.16979607
2016,na,0.82,na,na,na,0.37,2.82,na,0.5,0.7835,1.12,na,1.624,na,1.009,na,2.392,2.85,0.626333333,0.194978916,1.393375,0.49135838,2.278666667,0.349874898
2017,0.2972,0.852,1.753666667,na,na,0.249,1.378,1.5257,0.381,1.704666667,0.808,0.253,5.36,1.162,na,0.4566,5.13,0.734,0.29505,0.030660547,1.051488889,0.221620508,2.91114,0.955241016
2018,na,1.323,na,3.112,2.442333333,na,3.34,1.936,0.1909,1.22,0.826,na,2.2755,1.2405,0.4607,0.3402,2.603,0.7425,,,1.149005556,0.296184447,2.417833333,0.316495462
