year,BHR,BRR,BVR,CBR,CCK,CFK,CHL,CMR,CRR,EFR,GRR,MNR,MSR,NRR,PRR,RRR,SRR,TAR,forest,forSE,agstrat,agstratSE,ag,agSE
1987,0.5,2,2.666666667,5.333333333,2,0.5,na,5,0.5,4.5,0.5,2.5,3.5,1,2.666666667,2,5,2.75,1.333333333,0.510990324,2.345238095,0.454412731,3.966666667,0.806914562
1988,1,na,3,4,2.75,2.166666667,1,3,2,4.333333333,1,2,4.75,1,3.75,1.5,3.5,3.333333333,2.183333333,0.442844342,2.652777778,0.499266437,2.875,0.638194067
1989,5,2,3.5,9,2.75,3.5,1,2,2.5,5.5,na,2,3.666666667,3,2.5,1,3,3.25,3.1,0.533853913,3,0.62249498,3.611111111,1.143149213
1990,2,na,na,na,na,na,na,4.833333333,na,6.4,3,3,na,2.571428571,na,na,na,na,,,,,,
1991,6.666666667,4.333333333,na,4,4,0.5,na,7.5,1,6,2,5.333333333,5.333333333,1.5,na,na,4,4.333333333,3.375,1.543167438,4.133333333,0.637704216,4.466666667,0.97951235
1992,3,4,3.75,4.5,6.421052632,4.4,6,7,3,6.333333333,3.875,4.6,6,5.2,4.75,4.5,7,6,3.95,0.39179076,4.982769424,0.45963793,5.95,0.403112887
1993,2.5,3.7,na,na,5.5,na,4,5.5,na,7.571428571,na,3.857142857,5.7,na,na,4,5.5,5.4,,,5.234285714,0.686942353,5.175,0.394493346
1994,3,8.333333333,13.9,6,10.5,4,9,na,4.4,10.71428571,5,6.076923077,12.45454545,14.77777778,8,na,14.66666667,8,5.095384615,0.879609919,9.407936508,1.23348756,11.37979798,1.704560344
1995,6.6,5.916666667,7.975,11.46,9.34,4.9,9.8,12.7,4.438461538,10.03636364,7.04,8.66,11.95,7.75,6.975,7.6,10.7,9.7,6.314692308,0.759587754,8.229718615,0.574984164,10.72666667,0.722226496
1996,2.26,4.161666667,4.45,7.34,6.852,3.218333333,3.755,7.29,3.305714286,7.006,3.76,5.17,7.892857143,4.725,4.025333333,6.22,7.4925,7.346,3.59587619,0.483404434,5.685095238,0.571203208,6.415892857,0.704698829
1997,2.965,3.693333333,5.52,10.58333333,10.962,4.35,na,na,3.09,9.83,3.888571429,3.206666667,9.225,5.145,4.736666667,5.855,na,7.526666667,3.669666667,0.363887345,6.753653061,1.065423807,8.317777778,1.634131419
1998,na,na,na,na,na,na,4.2,na,na,7.05,na,4.86,5.5375,3.35,2.425,5.7,6.2,5.2,,,,,4.821875,0.643201121
1999,na,1.833333333,3.4,na,3.566666667,2.2,na,na,1.83,5.68,2.516666667,4.2,4.933333333,2.055555556,2.65,3.65,6.6,4.675,2.72,0.521040625,3.617380952,0.483495301,4.52962963,1.327306337
2000,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
2001,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
2002,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
2003,na,na,na,na,na,na,na,na,na,7.6446,na,na,na,na,na,na,na,na,,,,,,
2004,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
2005,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
2006,na,2.3,na,na,na,na,na,na,na,na,3.133333333,na,5.2,4.05,na,5.625,na,na,,,,,,
2007,2.327,1.661,3.456,4.306,3.671,1.793,3.005,na,1.854,6.986,2.169,5.535,4.369,3.176,2.723,2.937,6.228666667,4.713,2.8464,0.693111939,3.656142857,0.671787397,4.216933333,0.575780026
2008,17.5,na,11.05,na,13,12.15,15.5,13.5,6.25,6.5675,8.9,6.2,18.66666667,12,7.8,13.5,11,14,9.98,2.170403188,11.16958333,1.199124753,14.13333333,1.363614478
2009,8,10.5,18,18.33333333,14,8.8,13.5,15,8.9,14.66666667,6.7,8.35,18.33333333,13,9.9,12.66666667,13,16,8.79,0.321091887,13.21904762,1.409939342,15.19444444,1.036747645
2010,na,na,na,na,3.7,na,3.85,4.6,na,6.916666667,na,4.8,4.65,na,3.2,na,8.9,na,,,,,5.5,1.148005517
2011,na,7.4,na,na,na,na,na,na,na,na,2.2,na,na,3.2,na,6.8,na,na,,,,,,
2012,na,na,na,2.55,na,na,na,na,na,na,2.5,na,2.2,na,na,na,na,na,,,,,,
2013,na,na,na,na,na,na,6.5,na,3.2,8.166666667,2.7,4.1,na,na,na,5.6,na,na,,,,,,
2014,na,3.2,na,na,na,2.666666667,na,na,2.2,7.8,3.3,5.6,5.2,5,na,na,6.55,6.65,3.488888889,1.064117324,5.2375,1.171426303,5.583333333,0.486769396
2015,na,3.3,5,3.7,5.1,2.5,na,na,na,8.2,4,na,na,3.3,2.9,3.9,6.05,5.7,,,5.028571429,0.614008797,4.35,0.857807282
2016,na,3.39,na,na,na,2.43,4.31,na,3.38,8.44,4.55,na,5.45,na,4.81,na,7.76,7.6,3.54,0.691688755,5.995,1.20513139,5.84,1.014839889
2017,2.37,3.38,3.87,na,na,4.19,4.53,5.94,2.81,8.343333333,4.05,3.8,5.9,4.28,na,6.73,6.89,6.49,3.2925,0.422973108,5.477222222,0.81298281,5.508,0.485524459
2018,na,15.1,na,5.33,4.646666667,na,6.72,5.08,3.595,8.216666667,3.48,na,5.085,4.08,3.435,5.36,6.165,5.42,,,7.037222222,1.733941008,5.41,0.377533663
