year,BHR,BRR,BVR,CBR,CCK,CFK,CHL,CMR,CRR,EFR,GRR,MNR,MSR,NRR,PRR,RRR,SRR,TAR,forest,forSE,agstrat,agstratSE,ag,agSE
1987,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
1988,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
1989,26,11,38.5,5,52,17.33333333,24,19,21.66666667,49,5,21.33333333,92.66666667,10,16,11.5,120,131.625,20.46666667,1.768866555,42.66071429,16.51196162,45.11111111,19.86541134
1990,8.5,na,na,na,77,na,na,142.3333333,na,253.5,106,172,na,58.85714286,na,na,na,na,,,,,,
1991,38,na,na,na,na,na,5,50.25,na,138.2,na,35,na,46.5,na,na,5,85,,,,,26.6875,12.5446598
1992,120,100,na,55,50.125,na,54,34,22.33333333,135,216.2,206,5,110,95,90,5,350,110.8333333,37.88542669,156.8875,44.86937697,43.83333333,16.04040038
1993,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
1994,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
1995,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
1996,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
1997,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
1998,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
1999,na,8.333333333,12.5,na,13.33333333,11.25,na,na,5,80,30.83333333,70,29.16666667,6.666666667,15,40,30,132.5,25.3125,15.03792948,45.35714286,17.25820979,21.94444444,7.642675829
2000,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
2001,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
2002,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
2003,na,na,na,na,na,na,na,na,na,358.38,na,na,na,na,na,na,na,na,,,,,,
2004,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
2005,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
2006,na,105.7142857,na,na,na,na,na,na,na,na,192,na,85,46.66666667,na,105,56.66666667,na,,,,,62.77777778,11.47998796
2007,9,9,26,104,89,9,9,na,9,154,9,106,63,9,9,9,202.3333333,103,28.4,19.4,57,22.05080713,77.46666667,35.9724586
2008,1.9,na,4.5,na,21,4.5,64.5,99,4,150,0.7,22,201.6666667,0.7,24,10.35,1545,160,11.28,4.814914329,57.75833333,30.90453693,382.1733333,292.5212728
2009,46.66666667,505,133.5,153.3333333,183.3333333,8.7,168.5,61,89,886.6666667,46.5,390,243,17.53333333,30,126.6666667,244.3333333,1230,112.8733333,70.52393951,444.5238095,171.8618571,147.95,38.01067467
2010,na,na,na,na,19.5,na,40.5,86,na,219.6666667,na,250,124.5,na,47,na,245,na,,,,,124,43.83444232
2011,na,200,na,na,na,na,na,na,na,na,8.3,na,na,30,na,15,na,na,,,,,,
2012,na,na,na,33,na,na,na,na,na,na,23,na,73,na,na,na,na,na,,,,,,
2013,na,na,na,na,na,na,430,na,10,252.3333333,13,310,na,na,na,85,na,na,,,,,,
2014,na,36.55,na,na,na,3.5,na,na,10.6,140.25,12.1,308,86.75,14.3,na,na,127,376.15,107.3666667,100.3376023,141.2625,83.07668239,76.01666667,32.97335204
2015,na,63,5.333333333,2,24,2,na,na,na,217,53,na,na,35,2,2,47.5,277,,,91.61904762,41.53200007,28.16666667,13.57182539
2016,na,10,na,na,na,16,195,na,15,110.5,246,na,88,na,75,na,87.5,907,35.33333333,19.83543406,318.375,202.0776846,123.5,35.75029137
2017,13,76,30.33333333,na,na,9,58,37,2,266.6666667,2,14,97,9,na,26,100,79,9.5,2.723355773,80,39.29725275,60.2,17.46825693
2018,na,201,na,140.3333333,75,na,123,69,46,155,105,na,98,45,40.5,41,146,381,,,159.6666667,49.98577575,103.5555556,16.51860156
