year,BHR,BRR,BVR,CBR,CCK,CFK,CHL,CMR,CRR,EFR,GRR,HTR,MNR,MSR,NRR,PRR,RRR,SRR,TAR,WFR,For,ForSE,Agstrat,AgstratSE,Ag,AgSE
1987,-1.318801906,0.248355629,0.384658594,-0.636743991,-1.372123559,-0.50112147,1.736480095,1.555043325,-0.569722352,-0.627332968,1.490562332,-0.075374377,-0.489453164,1.047707914,-0.41600828,-1.017230964,-1.393285729,0.750870017,-0.283198246,-1.293260668,-0.779265971,0.166281496,-0.221766278,0.389898428,0.565996386,0.359786453
1988,-1.277343898,-1.235155328,-1.264982279,-0.849473713,-0.712320748,-1.616273557,-1.306719171,-1.027994397,-0.244218161,-1.081976681,-0.183181635,-1.423439947,-1.10844189,-1.315841693,-0.202046469,-1.137890979,0.323043668,-1.48427794,-0.385295468,-0.693891628,-1.076833697,0.226845256,-0.648552639,0.226036495,-1.087113333,0.170063692
1989,1.259367965,1.090907148,-0.275759814,0.655049538,-0.028847881,1.452624989,0.507340267,0.601504027,-0.09730919,-0.725294873,-0.338936244,-0.244983934,0.794890485,-0.189679821,0.077749745,0.385106549,0.462533336,0.176416103,0.745066631,-0.230426034,0.758936159,0.283357863,0.132809758,0.246570615,0.226199418,0.140007749
1990,-0.129475302,-1.534958936,1.905026076,1.348733414,1.355850395,0.241569821,0.820016188,0.295651799,0.182105912,-0.162641881,-0.08428982,0.028153534,-0.456996826,0.821283834,-0.673859693,1.151967981,-0.304659839,1.014596586,0.188393683,0.84983212,0.197834317,0.269115834,0.19467424,0.428733853,0.522082238,0.259565672
1991,-0.06728829,-1.266169494,-0.722596098,-1.953201836,-1.280402092,-0.411909302,-1.242027601,-0.244087426,-0.702228483,0.457783517,-0.751809571,-1.346344694,-1.495599632,-0.477675362,-0.972857608,-1.363123008,-1.860272879,-1.348497924,0.95169196,-0.794948036,-0.808029743,0.273649785,-0.638824951,0.379510799,-1.083527493,0.218474266
1992,0.865516889,0.126883477,1.964042189,0.0816042,-0.188620759,0.591727577,0.66637371,0.496126368,0.029435805,-0.250556411,0.5461455,-0.441026149,1.467200337,-0.106260424,1.106412296,-0.877801613,0.301816979,-0.44764974,1.4038368,-0.728738666,0.415215799,0.397575098,0.557649682,0.314537886,0.193654323,0.221718094
1993,-0.056923788,-0.656224223,-0.143676132,0.42073854,-1.966833716,0.611800314,1.399544835,1.768368828,0.300209203,-0.617285593,-0.786421706,0.435657016,-0.470906685,0.408159197,-0.042946662,-0.169929522,-0.459311428,0.87881657,0.426620534,-1.707940411,0.042849904,0.188296851,-0.600447466,0.275526357,0.752619761,0.240454599
1994,-0.831670312,-0.516660474,-0.756319591,0.019943411,0.450470753,-0.663933674,-1.233941155,-0.395728447,-0.20100964,-0.255580098,0.963963417,-0.189915896,-0.876610906,0.479661538,-1.258140022,-1.438200351,-1.302314206,0.139859944,-0.84230208,0.023957338,-0.802284977,0.198928293,-0.322677468,0.297332497,-0.348322947,0.253495926
1995,-1.974356657,-1.361796507,0.280677823,0.550226197,-0.253713413,-1.188055156,-0.794577576,-0.979160848,-0.26150157,-0.210366911,-1.288297666,-1.178937858,-0.104613731,-0.777587959,-0.588823589,1.066165304,0.183554,-1.343275616,-0.570042822,-0.066644959,-0.492472362,0.515410016,-0.459997928,0.247802706,-0.730305321,0.234270775
1996,0.103725993,0.788519026,0.421192378,0.235756173,-0.153115675,-0.264709227,-0.595111903,-0.506246479,-0.869301431,-0.778043591,0.345889574,0.158114104,-0.855746118,-0.378366555,0.341087358,0.390469217,-0.222785469,0.43230921,0.8034079,-0.118915514,-0.299112313,0.252382823,0.172152021,0.220132239,-0.04463687,0.163552136
