year,BHR,BRR,BVR,CBR,CCK,CFK,CHL,CMR,CRR,EFR,GRR,HTR,MNR,MSR,NRR,PRR,RRR,SRR,TAR,WFR,For,ForSE,Agstrat,AgstratSE,Ag,AgSE
1987,0.5,1.833333333,3.166666667,2.357142857,3.333333333,1,4.5,6,0.583333333,4.857142857,1,7,1.5,3.5,2,1.75,2,5.5,3.833333333,7.833333333,1.066666667,0.246362425,2.860544218,0.500173509,4.408163265,0.711852025
1988,1,na,1.363636364,4,3.722222222,2.5,2.333333333,2.5,1.625,4.555555556,1.25,4.5,2.2,3.5,1,2.75,0.833333333,4,4.45,7.666666667,2.015,0.315594677,2.695791246,0.705294988,3.119047619,0.465352864
1989,3,3.25,3.4375,6,2.605263158,1.666666667,1.5,2,2.5,5.666666667,na,na,2.2,3.8,1.666666667,2,3.5,3.666666667,3.970588235,5.75,2.273333333,0.226666667,3.738336343,0.425912069,3.105555556,0.708175364
1990,2.3,na,na,na,na,na,na,4.909090909,na,6.117647059,2.5,na,3.764705882,na,3.055555556,na,na,na,6.125,na,,,,,,
1991,4.5,6.166666667,na,4,4,2,na,6.666666667,1,6.037037037,2,5.666666667,4.2,4.2,2.333333333,na,na,5,5.481481481,7.428571429,2.925,0.849877442,4.737037037,0.784940563,4.644444444,0.611414066
1992,3,4.777777778,3.5,4.75,4.730769231,5.333333333,6,6,2.666666667,7.25,4.111111111,5.5,5,7,5.777777778,4.666666667,7.25,9.5,6.548387097,na,4.133333333,0.543650214,5.452577888,0.582496817,6.361111111,0.581440618
1993,3,4,na,na,5.8,na,5,4,na,7.666666667,na,6,4.2,5.857142857,na,na,4,6,6.142857143,7.75,,,5.521904762,0.696251056,5.371428571,0.390185722
1994,3.666666667,5,12.66666667,10.4,7.863636364,4.25,8,8,3,9.6,4.25,18,6.016666667,11.66666667,9.857142857,6.4,na,14,9.567567568,13.25,4.666666667,0.662507862,8.157978433,1.287457414,11.41768707,1.353033008
1995,3.95,5.96,8.7,9.666666667,9.325,4.8,9.9,11,4.165714286,9.457142857,6.083333333,13.85,5.657142857,9.833333333,6.6,5.4,8.7,10.43333333,9.002631579,8.266666667,4.794571429,0.333118965,8.175443967,0.566608696,10.18333333,0.808936528
1996,2.795,3.763333333,5.22,6.395,5.8275,3.538,5.5,4.71,3.147826087,6.886,3.905,7.12,5.262727273,7.365,4.003333333,4.296578947,5.255,8.03,6.72326087,na,3.808026461,0.441012438,5.368584886,0.465530701,6.16047619,0.558805263
1997,2.12,3.8775,5.1525,8.334,7.26,4.042,4.39,4.46,3.691363636,7.506470588,5.465,10.7,4.72875,8.516,4.471666667,4.4772,5.206666667,6.955,7.890434783,na,3.811862727,0.458979228,6.051224577,0.56802278,6.832380952,0.941494929
1998,na,na,na,na,na,na,5.3,na,na,6.453333333,na,na,4.508823529,5.7,3.416666667,3.077272727,4.5,6.533333333,6.188,6.033333333,,,,,5.2375,0.659066926
1999,1.9,2.9,3.933333333,4.92,4.191666667,2.32,5.9,7,2.426086957,5.88,3.133333333,6.8,4.195833333,5.316666667,2.5,3.485714286,4.05,6.65,5.903448276,7.125,2.865526915,0.422924157,4.28454023,0.452389555,5.583809524,0.592479513
2000,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
2001,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
2002,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
2003,na,na,na,na,na,na,na,na,na,7.518952381,na,na,na,na,na,na,na,na,na,na,,,,,,
2004,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
2005,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
2006,na,3.9,na,na,na,na,na,na,na,na,3.56,na,na,5.4,3.35,na,4.225,na,na,na,,,,,,
2007,2.541,2.702,5.782,4.582,3.806,3.119875,4.544,3.735,2.016,5.811,2.52,7.0785,2.959,na,2.449,3.249,3.61,6.805625,4.333,5.968,2.776975,0.224531541,4.080571429,0.50203471,4.8656875,0.729444784
2008,14,na,10.875,11.71428571,7.924,12.57142857,10.88,12.33333333,10.34,6.734166667,8.166666667,18.28571429,5.9,17.2,9.85,8.442857143,12.84285714,11.25,14.57142857,na,10.25085714,1.443050454,10.18568651,1.263264271,13.07333333,1.245162418
2009,6.863157895,7.13,14.65454545,16.6,12.61428571,8.3125,12.11428571,9.846666667,5.5375,14,6.5,18.46111111,6.969230769,16.9,9.423076923,7.844444444,9.811764706,15,12.11428571,11.80909091,7.105366622,0.476382766,10.97498308,1.223166029,14.04930577,1.361099135
2010,na,na,na,na,3.666666667,na,4.2,4.4,na,6.4125,na,na,3.9,5.677777778,na,3.1,na,10.69333333,na,na,,,,,6.242777778,1.519194983
2011,na,8.05,na,na,na,na,na,na,na,na,4.35,na,na,na,6.7,na,6.6,na,na,na,,,,,,
2012,na,2.818181818,2.38,3.9,na,na,na,na,3.471428571,6.1,3.314285714,5.6,na,2.3475,na,2.755555556,na,9.15,3.957142857,5.35,,,3.713922078,0.651687507,5.249375,1.460008695
2013,2.74,4.04,4.4,4.46,3.714,3.816666667,5.125,na,2.95,8.419354839,2.86,7.183333333,5.007692308,5.36,3.925,3.983333333,3.7125,5.80952381,6.04,5.7,3.699538462,0.405465596,4.740836406,0.715077075,5.31047619,0.463190042
2014,2.9,3.8,na,5,4.45,3.105882353,4.3,4.4,5.42,7.637142857,3.5,7.45,5.028571429,6.175,3.2,5.3,3.9,6.3,5.4,5.763888889,4.350890756,0.554895663,4.781190476,0.633239207,5.260714286,0.549617214
2015,2.628571429,3.516666667,5.2,3.775,4.9,2.857142857,5.26,4.9,3.027272727,8.140740741,4.22,7.2,7.358333333,5.64,3.783333333,3.816666667,3.811111111,6.272222222,5.957142857,5.9,3.937597403,0.878227778,5.106523054,0.59707779,5.261507937,0.47429013
2016,3.672857143,5.879,7.936,na,na,4.214285714,6.101666667,8.065714286,4.18,9.089090909,5.125,11.94444444,9.174,6.64,4.8775,4.68375,6.678888889,8.805,8.621428571,8.619090909,5.184978571,1.010006431,7.221568062,0.644211439,7.739054233,1.016623576
2017,2.757,5.589333333,6.096571429,9.175714286,5.146923077,4.232222222,6.750645161,8.513333333,4.121666667,11.97954545,5.234285714,14.37555556,6.424117647,8.967142857,4.734,6.041428571,7.200909091,7.75,8.567142857,10.77619048,4.715287021,0.674513836,7.116387279,0.932931335,8.609484456,1.122483784
2018,3.036666667,4.87,4.908,6.561304348,5.686333333,3.26,8.205,8.42875,4.151111111,11.0428,4.665,10.87428571,7.005,6.65,3.892,5.092857143,4.856666667,6.607272727,7.124,7.283333333,4.509126984,0.722037256,6.164685714,0.875058434,7.316944684,0.815462422
