year,BHR,BRR,BVR,CBR,CCK,CFK,CHL,CMR,CRR,EFR,GRR,HTR,MNR,MSR,NRR,PRR,RRR,SRR,TAR,WFR,For,ForSE,Agstrat,AgstratSE,Ag,AgSE
1987,5,54.33333333,16.33333333,18.57142857,5,5,23.5,5,10,26.21428571,5,164,11,9,5,9,16.5,24,39.78947368,220.083325,8,1.264911064,23.31006087,6.914472946,35.58163265,21.62327884
1988,5,na,9.727272727,34,20.82352941,29.5,50,70,189.25,110.8333333,50,65,35.55555556,85,5,56.66666667,50,50,49.64285714,307.8333333,63.19444444,32.57179155,48.50449877,14.33011032,51.28571429,9.90361715
1989,12,22,10.375,17.5,27.36842105,10.75,27,22.33333333,5,67.55555556,7.333333333,na,21.3,69.4,13.66666667,11.4,5,89.66666667,75.73432692,110.75,12.09,2.620801404,30.76666241,11.01165792,39.92777778,12.92531371
1990,115,na,na,na,63,na,na,183.7272727,na,103.5384615,7.2,na,117.4705882,na,99.88888889,na,na,na,120.75,na,,,73.62211538,25.23349629,,
1991,35.5,na,na,na,na,na,13.33333333,28.25,na,52.88888889,na,39,21.73333333,na,25.33333333,na,na,5,21.06666667,340.6666667,,,,,22.18333333,5.929235476
1992,70,61.25,na,90,59.20588235,na,30,42.5,15,60,44.28571429,5,126.8333333,5,188,53.33333333,70,5,156.1290323,na,66.29166667,23.23395255,75.14510482,16.54657824,52.21428571,25.42071173
1993,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
1994,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
1995,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
1996,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
1997,na,na,na,na,na,na,na,na,na,14.85,na,na,20.4,na,10.3,na,na,na,na,na,,,,,,
1998,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
1999,5,8,12.5,28,23.54166667,18,20,40,7.826086957,26.75,9.166666667,80,23.95833333,20,5.833333333,15.35714286,15,15,52.06896552,75,14.02831263,3.436011014,21.00389984,5.818854533,29.83333333,9.274688203
2000,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
2001,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
2002,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
2003,na,na,na,na,na,na,na,na,na,111.2238095,na,na,na,na,na,na,na,na,na,na,,,,,,
