year,BHR,BRR,BVR,CBR,CCK,CFK,CHL,CMR,CRR,EFR,GRR,HTR,MNR,MSR,NRR,PRR,RRR,SRR,TAR,WFR,For,ForSE,Agstrat,AgstratSE,Ag,AgSE,
1987,na,0.44,na,1.414285714,3.316666667,na,1.4,1.45,na,0.979831933,0.4,8.5,0.25,3.95,0.8,0.2625,0.35,5.4,0.481578947,1.08,,,0.994679591,0.47371024,3.273469388,1.076878108,
1988,na,na,na,1.1,4.10130719,na,4.3,1.9,0.35,0.733333333,0.85,1.55,0.661428571,4.316666667,1.666666667,0.475,1.42,4.6,0.842857143,2.333333333,0.49547619,0.090482769,1.589499533,0.639345868,2.776190476,0.584181437,
1989,0.3,0.48,na,2.4,3.826315789,na,3.7,3.7,0.4,0.916666667,na,na,0.36,3.86,0.7,0.46,0.6,3.466666667,0.652173913,0.775,0.38,0.033665016,1.295031274,0.636834795,2.971111111,0.502738181,
1990,0.241666667,na,na,na,na,na,na,2.199090909,na,1.181878558,na,na,0.506617647,na,0.817647059,na,na,na,0.85,na,,,,,,,
1991,0.483333333,na,na,na,na,na,2.2,1.147916667,na,1.102777778,na,9.3,0.726666667,na,1,na,na,2.8,na,na,,,,,3.289583333,1.539170558,
1992,na,0.5,na,1.2,4.076344086,na,na,na,0.575,na,1.15,5.05,na,6.1,0.9,na,na,5.15,2.1175,na,,,1.960961022,0.779498495,3.68,1.090252264,
1993,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,,
1994,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,,
1995,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,,
1996,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,,
1997,na,na,na,na,na,na,na,na,na,0.79604902,na,na,na,na,na,0.089137931,na,na,na,na,,,,,,,
1998,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,,
1999,0.265,0.67,1.7,1.125,6.18375,0.2575,na,na,0.248,0.453571429,0.64,na,0.17875,3.9,1.065,0.273571429,0.225,na,0.8765,0.725,0.244564286,0.016984831,1.535545918,0.794423413,,,
2000,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,,
2001,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,,
2002,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,,
2003,na,na,na,na,na,na,na,na,na,1.222808333,na,na,na,na,na,na,na,na,na,na,,,,,,,
2004,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,,
2005,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,,
2006,na,0.728333333,na,na,na,na,na,na,na,na,0.671428571,2.942,na,2.822857143,1.67125,na,0.55,2.677142857,na,na,,,,,2.5283125,0.290774898,
2007,0.2,0.467,1.087,1.198,1.154,0.3475,0.942,0.682,0.21,0.647,0.324,1.6915,0.387,na,0.901,0.352,0.279,1.519678571,0.469,0.887,0.2993,0.03913234,0.632428571,0.13389759,1.155696429,0.158774767,
2008,na,na,2.025,1.233,na,0.247,2.366,1.354333333,na,na,na,1.531428571,0.514333333,3.502,na,0.204142857,na,4.015,0.767,na,0.321825397,0.097045802,,,2.333626984,0.483290004,
2009,1.394473684,2.0608,4.977272727,1.6189,5.732142857,0.906491667,9.037857143,6.885333333,0.8375,1.381333333,1.642777778,14.79966667,1.007730769,11.269,3.630769231,0.776555556,1.580588235,13.37833333,1.277571429,1.563818182,0.984550335,0.109442512,2.664640908,0.705635015,8.659979958,1.857593979,
2010,na,na,na,na,3.6575,na,2.26,2.05,na,1.866293103,na,na,0.489,3.661111111,na,0.352,na,7.853333333,na,na,,,,,3.956111111,1.347386932,
2011,na,0.867875,na,na,na,na,na,na,na,na,0.6115,na,na,na,1.32625,na,0.766285714,na,na,na,,,,,,,
2012,na,na,1.476,1.04425,na,na,na,na,na,1.161436782,na,na,na,4.2125,na,na,na,1.555,0.513571429,0.9435,,,,,,,
2013,na,na,na,na,na,na,na,na,0.95355,1.405331266,0.45,1.505666667,0.841758242,1.878,1.9125,0.711666667,0.418583333,4.534285714,0.57575,1.835,0.835658303,0.069892283,0.71241615,0.233453949,2.457613095,0.698323635,
2014,0.105,1.605,na,1.605,2.517375,0.843011765,2.6325,0.905,1.71488,2.229708571,0.911,4.43,1.626171429,2.7075,1.958,1.456275,0.652,2.74,1.314,1.989647222,1.149067639,0.302150248,1.538180595,0.298352473,2.425428571,0.420968278,
2015,0.245557143,0.892843333,3.135,0.94925,2.375461538,0.433571429,1.8758,1.687333333,0.375809091,2.253951852,0.72834,3.6585,1.147533333,1.9592,1.0837,1.24195,0.921111111,1.179161111,1.880857143,1.771022222,0.688884199,0.209282145,1.741080711,0.346599976,1.770420635,0.348943436,
2016,0.326857143,0.5917,0.6838,na,na,0.325714286,0.864,1.461,0.490545455,0.921954545,0.538166667,3.301555556,0.8762,0.93925,0.64025,0.3755,0.641,1.874555556,2.125,0.979272727,0.478963377,0.103744238,0.916936869,0.247600589,1.513435185,0.401847354,
2017,0.2706,0.63328,2.299828571,2.008,3.240230769,0.170055556,2.026577419,1.183477778,0.397608333,1.785381818,0.531785714,5.46,0.634764706,4.705714286,0.6573,0.555385714,0.561027273,4.411818182,0.925942857,1.386319048,0.405682862,0.086232894,1.425353858,0.396725321,2.921841095,0.717653947,
2018,0.236711111,0.559753846,1.356,1.150542174,1.780263333,0.187915,2.42,1.5265,0.335262222,1.553578,0.502666667,3.754285714,0.633666667,1.9965,0.774,0.575957143,0.268833333,2.431818182,0.60632,0.631,0.393902429,0.089780124,0.946773597,0.226406182,2.007663724,0.374446998,
