year,BHR,BRR,BVR,CBR,CCK,CFK,CHL,CMR,CRR,EFR,GRR,HTR,MNR,MSR,NRR,PRR,RRR,SRR,TAR,WFR,For,ForSE,Agstrat,AgstratSE,Ag,AgSE
1987,0.125,0.2,na,0.428571429,0.333333333,na,0.4,0.4,0.1,0.485714286,0.1,1.3,0.15,0.325,0.05,0.1625,0.2,0.7,0.381578947,0.9,0.134375,0.013858474,0.283437761,0.057910904,0.514795918,0.149339387
1988,0.05,na,na,0.9,0.477777778,na,0.4,0.4,0.15,0.45,0.4,0.95,0.39,0.566666667,0.2,0.375,0.4,0.55,0.742857143,1.583333333,0.24125,0.084122307,0.494126984,0.063953482,0.566666667,0.103317971
1989,0.2,0.28,na,0.5,0.352631579,na,0.5,0.6,0.25,0.511111111,0.2,na,0.2,0.56,0.3,0.26,0.5,0.666666667,0.45,0.55,0.2275,0.016007811,0.382290448,0.051513001,0.521111111,0.051219691
1990,0.075,na,na,na,na,na,na,0.809090909,na,0.520588235,0.15,na,0.394117647,na,0.167647059,na,na,na,0.54375,na,,,,,,
1991,0.133333333,na,na,na,na,na,0.6,0.58125,na,0.377777778,na,1.133333333,0.426666667,na,0.2,na,na,0.5,0.429310345,1.216666667,,,,,0.602916667,0.150790164
1992,na,0.266666667,na,0.8,1.366666667,na,0.65,0.75,0.275,na,0.95,1.2,0.633333333,1.55,0.4,na,na,1.25,1.78,na,,,1.090833333,0.322764032,0.942857143,0.151747194
1993,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
1994,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
1995,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
1996,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
1997,na,na,na,na,na,na,na,na,na,0.031666667,na,na,na,na,na,0.02,na,na,na,na,,,,,,
1998,na,na,na,na,na,na,na,na,na,1.395454545,na,na,0.515384615,0.566666667,0.125,0.6,5.525,na,0.992857143,1.275,,,,,,
1999,0.175,0.5,0.5,1.1,1.8,0.2,na,na,0.16,0.428571429,0.35,na,0.1375,0.7,0.3,0.185714286,0.05,na,0.82,0.7,0.171642857,0.010758006,0.635510204,0.212354204,,
2000,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
2001,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
2002,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
2003,na,na,na,na,na,na,na,na,na,0.785433333,na,na,na,na,na,na,na,na,na,na,,,,,,
2004,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
2005,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,
2006,na,0.685,na,na,na,na,na,na,na,na,0.558571429,2.16,na,1.092857143,1.2375,na,0.54,0.984285714,na,na,,,,,1.368660714,0.268829678
2007,0.19,0.459,0.413,1.19,0.92,0.33925,0.934,0.674,0.202,0.637,0.316,1.6835,0.379,na,0.165,0.344,0.271,1.03225,0.461,0.879,0.29085,0.039371913,0.496714286,0.083403984,0.946458333,0.207763411
2008,na,na,0.8575,1.204285714,na,0.23,0.806,0.574333333,na,na,na,1.008571429,0.482333333,0.904,na,0.187142857,na,1.04,0.705714286,na,0.299825397,0.092088805,,,0.922865079,0.088647515
2009,0.594210526,0.843,0.762727273,0.964,0.907142857,0.780625,0.859285714,1.152,0.3175,1.136666667,0.784444444,2.243888889,0.665384615,0.969,0.735384615,0.711111111,0.731176471,0.936666667,1.192142857,1.241818182,0.613766251,0.08004325,0.908185796,0.069844692,1.122889412,0.192770579
2010,na,na,na,na,0.465833333,na,0.46,0.65,na,1.6735,na,na,0.45,2.004444444,na,0.3,na,1.446666667,na,na,,,,,1.140277778,0.358679097
2011,na,0.82125,na,na,na,na,na,na,na,na,0.463333333,na,na,na,0.75,na,0.68,na,na,na,,,,,,
2012,na,0.73,0.59,1.01,na,na,na,na,0.347142857,0.983103448,1.06,2.36,na,1.7,na,0.737777778,na,1.061428571,0.498571429,0.921666667,,,0.772334975,0.108894281,1.532857143,0.317244192
2013,na,na,na,na,na,na,na,na,0.74875,1.189677419,0.29,1.266666667,0.724615385,0.964,0.5125,0.471666667,0.28625,0.958095238,0.462,1.725,0.648344017,0.088612987,0.556981855,0.214844959,0.925315476,0.155324461
2014,0.1,1.6,na,1.6,1.8,0.805882353,1.75,0.9,1.44,2.177142857,0.9,2.5,1.614285714,1.85,1.5,1.45,0.6,1.7,1.3,1.941666667,1.082033613,0.281734009,1.396190476,0.238317991,1.685714286,0.179521283
2015,0.227142857,0.88,1.7,0.525,1.138461538,0.428571429,1.06,1.333333333,0.3,2.207407407,0.72,3.216666667,1,1.68,0.866666667,1.183333333,0.822222222,1.133333333,1.842857143,1.755555556,0.627809524,0.194270576,1.330135473,0.220329371,1.402142857,0.331657836
2016,0.285714286,0.566,0.6558,na,na,0.285714286,0.7915,1.038571429,0.389090909,0.878272727,0.505166667,1.274444444,0.621,0.72975,0.4725,0.3355,0.583888889,0.973111111,0.924285714,0.939272727,0.383403896,0.062396135,0.685569,0.071224336,0.879979497,0.113411428
2017,0.164,0.605333333,0.722,1.01,0.862307692,0.164444444,1.007741935,1.108888889,0.319166667,1.667272727,0.521428571,2.587777778,0.631764706,1.057142857,0.502,0.514285714,0.498181818,0.94,0.847142857,1.253333333,0.358732306,0.093802302,0.817666714,0.151873793,1.173364494,0.247729575
2018,0.193111111,0.554076923,0.6178,0.907826087,0.7315,0.151666667,1.226666667,1.2585,0.188666667,1.2774,0.4965,1.387142857,0.630666667,0.92925,0.4108,0.570142857,0.241833333,0.912727273,0.6018,0.628,0.346850794,0.104203106,0.645844322,0.119808947,1.00470184,0.123075628
